date,name,rating,review
02/24/2024,Sophia,2.0,"We were right on time for our reservation that was made an month in advance but still had to stand waiting for 15 minutes until we were sat at the worst table right by the door where it was super loud. We asked to move, they let us. Everything was fine from there except when the check came the waitress rubbed my boyfriend’s chest and shoulder in front of me. She didn’t know I was the one paying and leaving her tip. I’ve been here multiple times before and never had a bad experience until this one."
02/24/2024,OpenTable Diner,5.0,"Our server was friendly and attentive. Food was absolutely amazing. Tomahawk for 2 special was cooked to perfection, and can’t ever go wrong with that garlic bread fondue appetizer!"
02/24/2024,OpenTable Diner,5.0,It’s always an amazing experience ! Great staff and great food!!
02/24/2024,BrianK,5.0,Upon arrival and confirmed our reservation we were seated proptly! Wait staff was very helpful and attentive! Food was cooked perfectly! Very pleasant over all dining experience!
02/24/2024,VincentB,1.0,"My waiter charged me 2 times for a tip 

I gave her cash tip and also there was a tip put on my receipt that I didn’t put in 

516 859 3264. Please contact me"
02/24/2024,GeorgeT,5.0,"Great service, ambiance and food.  Highly recommend."
02/23/2024,OpenTable Diner,5.0,"I have to say our bartender, Brad, who served us while we waited for our reservation time (we were early) was extremely knowledgeable, warm, and really set the proverbial bar quite high for the evening as far as customer service and the experience of the visit itself. I plan on returning some time this year (the restaurant isn't a convenient distance from our home) because I want to try another dish he had recommended. (Or maybe I will just get several thousand orders of their garlic bread with the blue cheese cream sauce because that was a showstopper quite honestly!)"
02/22/2024,Holly,5.0,"the Top American Waygu T-Bone steak was delicious but not worth what you are selling it for, 150? it was very thin to be honest, could have been a bit thicker.  But everything else was great, I lied, that sauce on the asparagus was different, weird. But seriously everything else was great !! 

Thank you :)"
02/22/2024,AmandaK,5.0,"Food, drinks, and service were all outstanding! My husband and I shared the garlic bread appetizer, a Caesar salad, 10oz filet, an Italian sausage, side of seared scallops, mashed potato trio, Macaroni and cheese, and the layered cake. When we go again we will either get just the macaroni and cheese or potato trio instead of both. The sides are huge so take that into consideration. We both are foodies and can eat a lot but even sharing everything we felt we could have cut back so we wouldn’t have left overs. This place is a wonderful restaurant for a date night or for a nice night out with adult family members / friends."
02/22/2024,Bsalmon,5.0,Great food!!!!!!!!!! great service !!!!!!!!!10/10
02/21/2024,MarieP,4.0,Surprisingly the steaks  were not cooked the same.   X2 7oz filets mid-rare... one..perfection...juciy etc.  The other had to be resting for sometime.  Not one drop of juice and not terribly warm.
02/21/2024,hopeM,5.0,"Very pleasant,  the entire staff is on point.  Extremely organized,  you get what you pay for and Michael Jordan's Steakhouse is on point. I can't stress enough how well trained the staff is from the front of the house to the back! Thank you for a wonderful evening."
02/21/2024,MichaelT,5.0,The food was incredible! Service was amazing! Highly recommend!
02/21/2024,OpenTable Diner,5.0,Amazing experience. Excellent food and service. We loved that we could split one of their larger pasta dishes as well. Absolutely will be back.
02/20/2024,RickyH,5.0,"Great service from the front door, to the service staff. Nice touch with the signed birthday card by several staff members for my wife's birthday. Thanks for the great evening."
02/20/2024,nami,5.0,"I go for the filet, my wife does the sea food. Although I visit several times a year it's always my birthday treat."
02/19/2024,RHODEB,5.0,"Our server, Kate was an absolute joy. She was so hyper! But in a very very good way. The food was stupendous! Worth every dollar we spent - expensive but there’s a reason for that."
02/19/2024,EdwardM,3.0,I’ve been there a few times. I didn’t think the steak was nearly as good as it use to be. I ordered an appetizer and asked the waiter if it was what I thought and it was completely different. It was good but not worth the money.
02/19/2024,StephC,5.0,"The staff is always so friendly and the service is amazing. The food is outstanding! We come here once a year and feel that this restaurant blows any steakhouse out of the water by far! The drinks are always so good. Would recommend this to anyone, hands down!"
02/18/2024,KINGxLOU,5.0,"Great experience overall! We went for the first time on Michael's birthday. Food was amazing and the service was good. It is a little pricey, not absurd but  I still feel the Food and the experience were worth it. I would recommend and revisit!"
02/18/2024,JoeM,5.0,Food is always outstanding service is outstanding as well.  Look forward to our next visit.
02/18/2024,OpenTable Diner,5.0,"We came here to celebrate our 1 year wedding anniversary. When we were seated our waitress, Danielle, surprised us with a champagne toast to celebrate and an anniversary card signed by all the staff. It was sweet. The service, the food, and the ambiance were all amazing! As busy as they were for a holiday weekend, we never felt rushed or forgotten about one bit!"
02/18/2024,AnthonyC,5.0,"Never a bad meal/experience! We go all the time for special occasions. Drinks are great, food is great, service is ways what you want it to be! always would recommend!"
02/17/2024,OpenTable Diner,5.0,I have never had a bad meal here.  It is always delicious and the our waitress was great!
02/17/2024,SandyL,5.0,First time there! Amazing food.  Great service.  Loved our waitress.  We left feeling so full. No dessert 😕 next time.
02/17/2024,TylerL,5.0,Amazing place for fine dining! I will definitely be returning
02/17/2024,SandraG,5.0,"We had a fantastic dinner, good service, and will be returning!"
02/17/2024,Mr860,5.0,First time here and let me just say everything ordered was phenomenal and every staff member was very friendly. Definitely will be back again
02/17/2024,OpenTable Diner,3.0,Good food. Kind of overrated and overpriced. Definitely not a fine dining steakhouse like I was expecting
02/16/2024,OpenTable Diner,5.0,Our waiter Chris was wonderful very friendly and personable.  Great atmosphere food was awesome
02/16/2024,RM07,5.0,Great service and fantastic food. Oscar style was a $40 upcharge but so much crab meat and bearnaise sauce was given it didn't even matter.
02/16/2024,OpenTable Diner,5.0,Our waiter Chris was very good & helpful. Excellent experience will dine again for sure.
02/16/2024,nellakh,3.0,"We usually went to this restaurant on the weekend and service was always impeccable.  This time, it was Thursday.  Dirty dishes were piled up on our table while we were served desert!  Water glasses were empty and not refilled!  For the amount of money we spent on this dinner I expected perfect service!  Not pleasant!"
02/15/2024,MelissaG,5.0,"Fantastic service, food, and environment. We plan on returning."
02/15/2024,JimF,5.0,"Our server Nikki was outstanding. Water service was great (sorry we didn’t get her name,) and GM who came to table was attentive.

This is the best food and service around. Enjoy!"
02/15/2024,Nick,5.0,"Fantastic meal!! Beautiful restaurant, great service. Our server Jen was personable and made us feel right at home. Really enjoyed the meal and will be back."
02/15/2024,Eddie,5.0,Overall great experience we will return again soon.
02/15/2024,OpenTable Diner,2.0,Have been numerous times in the past and had no issues but it’s been years since we have been. We went on Valentine’s Day this year and the food was terrible. Service was ok but not great. I don’t see myself picking this restaurant again.
02/14/2024,OpenTable Diner,5.0,Was great as always!   Love Michael Jordan’s!  Service and quality of food  outstanding!
02/14/2024,TrishD,5.0,Service excellent food phenomenal. Kate and Katie were amazing.
02/14/2024,JaneL,5.0,"We used to go cedars steakhouse,  
for years and they changed hands and and everything got a lot more expensive. The staff is still very friendly but the experience is not there no more sad to say, which then we had to look for someplace new and then I found MJ 23 steakhouse took her there the first time on her birthday.

 (you was running the tomahawk special that night, and we ordered it. It was fantastic and  cooked to perfection.)

 now that is her favorite place to go so on Valentine’s Day I surprised her .
She have a fantastic time .


Thank you 
MJ 23 steakhouse to you and your fantastic staff
You will be seeing use lots more ."
02/13/2024,Molly,5.0,My husband and I highly recommend Michael Jordan Steakhouse! The food is fantastic. The service is excellent!
02/13/2024,Danesha,5.0,The food was very tasty and the service is the reason I would return.
02/13/2024,MichaelR,5.0,"World class steak at a price that is not only affordable, I would have paid twice the cost and still felt I was getting a great deal. Food was delicious. Melt in your mouth, food coma inducing. Service was excellent! This is my second time coming here, last time was 10 years ago, and it was virtually the same experience. I will not wait 10 years to come back! Take note competitors, this is how you run a restaurant."
02/12/2024,JohnK,5.0,"Great service, amazing food. Clearly a splurge evening, but worth it."
02/12/2024,CaliM,4.0,Went to MJs steakhouse in Mohegan with my boyfriend and parents to celebrate my birthday. The food was delicious and recieved a free birthday dessert (last time we also got champagne just not this time). Lighting was a little dark but the ambiance overall was nice.
02/11/2024,MaureenF,3.0,A disappointing experience last night. We’ve enjoyed the Porterhouse in the past but this time it was flavorless and not as tender as it should have been.  The broccoli salad was mushy and overdressed. The dinner rolls had been reheated or sat out too long. The service was very good.
02/11/2024,AleishaS,5.0,First time visiting and I will be back food was amazing. Crab cakes NO imitation crab honey REAL CRAB MEAT lol. Garlic bread whattttttt ! With the fondu sauce AMAZE BALLS ‼️ thank you .
02/11/2024,Triplemom,4.0,Simone was a terrific server!! She got our orders right and continued to check back on us.  She really made the night nice!
02/10/2024,OpenTable Diner,5.0,"Fast and friendly service. The restaurant is a little dark for my taste, but the food was outstanding."
02/10/2024,EricW,5.0,the staff was friendly as soon as we walked in.  Waitress was super friendly. Food was amazing
02/10/2024,OpenTable Diner,5.0,"Per usual, our experience was amazing. Our waitress was very sweet and checked on us multiple times. My boyfriend and I have been to MJ’s steak house multiple times and every time is perfect!! Always recommend to friends who are at Mohegan for the day."
02/10/2024,EdgarM,5.0,"Everything was great. Food, service ambience. We ordered filet mignon with mash potatoes, salmon with rice, green salad and garlic bread. Can’t emphasize enough how everything was so delicious!"
02/10/2024,LovingVegas2014,5.0,"I took my husband there for his birthday last evening as he is sort of steak snob. The staff immediately greeted him with a birthday card, which he loved. Our server was very attentive and friendly, the food was amazing and cooked perfectly (as always). We had the garlic bread and crab cake to start (best crab cake ever!) then we shared a steak flight with mac & cheese and potato trio for sides (with extra left to take home)…for dessert we ordered the chocolate layer cake to go our server delivered it with a candle!!! Everything from start to end was top notch! We highly recommend MJ Steak House for any special occasion or just a fabulous night out."
02/10/2024,Bbsmith,4.0,"i had the pasta with the braised beef, the presentation was not good it seemed messy the flavor was good, but I couldn't finish it was very heavy it was more like meat with pasta than pasta with meat."
02/10/2024,OpenTable Diner,3.0,"All of our steaks were way over cooked and dry! Luckily the service was great, but the food not so much!"
02/10/2024,OpenTable Diner,5.0,Food was great. Atmosphere was great. Next time I’d like a booth.
02/09/2024,JenniferT,5.0,Delicious as usual. The class casino appetizer special  was really good.
02/09/2024,Meghan,5.0,Always exceeds our expectations.  The garlic bread is the best.
02/09/2024,SarahB,5.0,Excellent first experience. Next level service and food quality. Our waiter Chris was excellent. Will definitely be back.
02/08/2024,MichaelH,5.0,We come to MJ 's Steakhouse at least once a month. It's the only restaurant I've been to in the last ten years where consistency is the name of the game. Have not had a bad meal in the past seven months
02/07/2024,sara,5.0,"Great meal. Great service, food is always fresh and delicious"
02/07/2024,JudsonH,4.0,"Excellent food, great service. Was a quiet Wednesday night, but I'm sure it get much busier. Just hit at a good time."
02/07/2024,Lovtoeat,5.0,Great service and great food knowledgeable staff Ambiance
02/04/2024,sam1023,5.0,Thank you Nick. Always an amazing dining experience at Michael Jordan’s.
02/04/2024,OpenTable Diner,5.0,"Brian , our server was great………………………………………………………."
02/04/2024,Sean,5.0,"Aside from a few small nitpicks, everything about our dinner was great. Our waitress was fantastic, and the food was superb as always. My only 2 issues were 1. The lighting was a bit dark, which caused several older customers use their phone flashlights to read the menu which got a bit annoying when they would shine it everywhere. 2. The NY strip is amazing, however on the ends the fat chars a bit leaving a not so pleasant taste. Other than that, everything was great and I will be back again for sure."
02/03/2024,JohnB,5.0,"My Shrimp Cocktail was OK,it could have been a little more firmer and Flavorfull,My 7oz Filet Mignon was outstanding ,cooked perfectly medium the service i recieved from Simone was absolutely Outstanding,Simone was Kind,Courteuos and helpful in my choosing the degree i wanted my steak cooked and did all this with a SMILE!"
02/03/2024,ElizabethD,4.0,"Always good food & service, also always too loud. Can not hear your dinner guests talk"
02/03/2024,OpenTable Diner,5.0,Exceptionally delicious food with great service!!!
02/03/2024,Wash,2.0,We have eaten at Michael Jordan’s on many occasions. We were greatly disappointed with the hostess and hostesses who treated our reservation like a giant inconvenience. We were asked if we wanted to sit at the bar. When we checked in we were told they were clearing tables and weren’t seated for another 15 minutes. The waiter seemed preoccupied with the bigger tables he had.
02/03/2024,PaulH,5.0,We got our table on time with our reservation. Service was fast and informative. The food was excellent. The atmosphere was amazing and an experience that you have to be there for. I will be back.
02/03/2024,Dave,5.0,"Best steak I’ve ever had!  Go for the American Wagu strip, it’s amazing!"
02/03/2024,Robert,4.0,"Great dinner for my wife’s birthday. Staff was excellent, service was speedy."
02/03/2024,Richk,3.0,"Michael Jordan’s steakhouse was good but definitely not great. The best part of the meal was the appetizers. We orders the crab cake and chicken skewers. Both were incredible!  For our main course we ordered the 10oz fillet and the American wagyu strip. While both were cooked perfect, they both were just missing something. Probably could have gone with the cheaper NY strip and been the same. Over all nice place just an over priced for what we were served."
02/02/2024,OpenTable Diner,5.0,"We had a fabulous dinner with a fabulous waiter, and I would definitely go back!"
02/02/2024,Sasha,4.0,"Steak was overcooked, medium rare was medium well, expected a better quality. Desert was delicious though"
02/01/2024,GenaS,4.0,"My first time at this restaurant. Food was delicious, lighting was poor for area we were seated but overall a great place."
02/01/2024,JPgerardp,5.0,"The atmosphere, as well as the service was impeccable. The food was absolutely outstanding, and they treated my wife like a queen, because it was her birthday and bought her out a free dessert, which was much appreciated. Would highly recommended to anybody staying at Mohegan."
01/31/2024,BonnieD,5.0,"Who is the genius that changed your rolls?  Terrible, terrible  last time I was there I complained how they resembled brown and serve rolls from a diner.  This time brown and serve rolls with glaze on them.  Your original rolls were wonderful these rolls take away from the dinner."
01/30/2024,kevinA,5.0,Service was great.  And the meal was amazing.  Great celebration dinner for my wife's birthday… Thanks
01/29/2024,Teep17,5.0,"We had a fabulous time! The food was superb and waiter couldn’t do enough for us.
I would go back any time I m at Mohegan Sun."
01/28/2024,DonaldS,5.0,"Everything was awesome. Our waitress was outstanding,  she was very informative and helpful.  The food was cooked to perfection. I  had the flight 23 and it was spectacular."
01/28/2024,RosalieB,5.0,Always amazing. Never a disappointment. We asked for our waiter Chris but couldn’t have. Melissa came to the table and made sure we were not disappointed. Amazing food and staff as always
01/27/2024,Mewhoeats,5.0,Great food. Wonderful service. Will be eating here again.
01/27/2024,RobertS,5.0,Great experience. Great food. Price point a little high but overall it was a great dinner.
01/26/2024,OpenTable Diner,5.0,The food and service were fabulous.  Especially our host Marcus.  Very attentive and friendly!
01/26/2024,JamesC,5.0,Food was great as usual and the service was extraordinary.
01/26/2024,OpenTable Diner,5.0,Brian was awesome! Our 3rd time having him and always does a great job with suggestions and quick service!
01/25/2024,Foodie,5.0,Fantastic! Great food and service!  Will return. Thanks!
01/24/2024,DavidS,5.0,"My husband and I had the Tomahawk Steak and it was wonderful.  We ordered salads and a side of asparagus which was great, but the salads were so large and tasty that it was impossible for us to finish it.  We will be back!"
01/23/2024,JohnY,5.0,"Awesome food,service and ambience. Our server, Janine was outstanding"
01/22/2024,MichaelH,5.0,We have been coming to MJ's Steakhouse for years.  The Hot food is served hot and the cold is served cold.  The staff is always very pleasant and efficient.  The hidden gem-Steak frites.  Sirloin steak with the flavor of sirloin and the tenderness of a filet.
01/22/2024,MarieB,5.0,The experience was great. Everything we ate was delicious
01/22/2024,TrishD,4.0,"We went for the Tomahawk, and although good lacked flavor. The Kansas City strip was actually amazing with better flavor.  Garlic bread delish and the couscous that they serve with the chicken dish excellent. Short rib pasta is also a winner."
01/22/2024,DavidC,5.0,I've been coming to this steak house every time I visit Mohegan Sun. Pricing is reasonable for what the quality you receive.  Service is always good. They even offered a complimentary dessert for a birthday gift. I appreciate the attention to the details.
01/22/2024,OpenTable Diner,5.0,First time dining in your establishment. We were celebrating Our Anniversary and made my reservation through OpenTable. My Host and Hostess were delightful they accommodated us with a booth seating. It was a great choice for a romantic setting. My waiter Nick was astounding at his job so respectable and very knowledgeable on the menu. He provides great suggestions and was always checking on the table. He even up sold us to a great new red wine that we never had before it was delicious. The bread for the table is butter yet sweet and you definitely can’t stop eating it. Since it was the first day of Restaurant week we decided to purchase from that menu. We had the 42 Tomahawk Steak with fries for $99. We ordered the oysters and the Caesar salad with a side of chimichurri sauce for the steak. We will be coming back for Valentine’s Day. Thank you for a memorable Birthday Dinner.
01/21/2024,RaquelM,5.0,"The service was excellent,  server was knowledgeable and helpful in narrowing down decisions. The timing of food arriving to the table was great and the food itself was extraordinary. The flavors were so bold and worth the price. Ordered the seabass and it melted in your mouth. Also ordered the NY strip and it was very tender. I would highly recommend eating here."
01/21/2024,Jbrown,5.0,Brian our server was great! Steak was perfectly cooked.
01/20/2024,JosephP,5.0,Very Good. Our waiter was Great and the place was Good
01/19/2024,EileenW,5.0,Our waitress was amazing. Went above and beyond for our son’s birthday dinner!  Excellent
01/19/2024,karynl,4.0,Awesome meal for my man’s birthday! I felt as if we were being rushed out of there because they were so many people waiting and I had made reservations. I don’t think we should be rushed.
01/19/2024,AlbertP,5.0,This was our fourth tie there and every time is fantastic service and food. Our favorite restaurant anywhere.
01/19/2024,JosephG,5.0,"Excellent as always , there food is the best, the steak and the apps are amazing"
01/19/2024,lisafrompompano,5.0,"Had the surf and turf it did not disappoint
It was for 2 but could certainly feed 4
We opted for the crab topping and it was abbodonza
Don’t skip the garlic bread, it paired very well with the wedge salad
No room for dessert"
01/19/2024,Izzy,5.0,Great meal as usual we got there earlier and the sat us right away.kate our waitress was very nice.
01/17/2024,OpenTable Diner,5.0,"5***** all around!
23 layer chocolate cake is unforgettable"
01/16/2024,MichaelK,5.0,Great food and even better service - as we have come to expect!
01/16/2024,TeresaT,5.0,Michael Jordan’s is always superb! He’s an equally good restauranteur as he was a basketball player!
01/15/2024,LarryM,5.0,"We had a very good meal, great service, nice people. We will be back!"
01/15/2024,AlexJ,4.0,"Service wasn't as good as expected, took a long time between servings.
Desert menu been reduced, not many choices.  Main waiter needed to follow up with us more frequently, it wasn't busy.  The back server did more for us than the main waiter.
Maybe give 4 rolls instead of 3 for 2 patrons.  Main Porterhouse entry was what was expected."
01/15/2024,OpenTable Diner,5.0,"Favorite restaurant in Connecticut great food, staff and vibe. Highly recommend!"
01/14/2024,Mario,5.0,The food and services were excellent. My wife and I asked if we could make  a change to part of the meal with another item. The change was made with no additional cost and the results were excellent. We highly recommend Michael Jordan’s.
01/14/2024,CurtisM,5.0,"Steaks were cooked to perfect temperature. NY strip was excellent. Our server was excellent as well. Too expensive for a daily or weekly thing, but great for a special occasion."
01/14/2024,SarasotaWaterfrontGem,5.0,"Everything was amazing.  Seating accommodations were really nice, quiet, comfortable."
01/14/2024,OpenTable Diner,5.0,"Food was just OK. Drinks were presented well. Service was great, and they took our reservation early."
01/13/2024,OpenTable Diner,4.0,Impeccable service and attention to our needs. Nikki answered all questions very thoroughly. Wife and I had 2 apps along with soup on menu and shared one entre. Apps were very good served hot and within a very good timeframe.  Soup was not our favorite. Unique flavor. Entre was Chilean sea bass. Fish it self was tasty.  Very poor presentation.  It was uncharacteristic for an upscale establishment to let that dish be served that way. No creativity. Fish sat on a bed of risotto and that’s it. Lacked style. Needs drastic improvement.  Disappointing!
01/13/2024,Marian,5.0,Delicious food and excellent service. Highly recommended.
01/13/2024,OpenTable Diner,4.0,"It was extremely dark in the restaurant and we as very expensive. The food was very good, pricing to be expected as it’s inside the casino. Not a great place for kids."
01/13/2024,KassC,5.0,Had a great time! Great service and great food! I plan to go again.
01/13/2024,CarlosR,5.0,"Excellent food, arrived early for reservation was sitted quickly 
Restaurant was busy so service was a little slow but very good"
01/13/2024,ShirleyG,5.0,First time visiting and it was amazing. All around it was a 5 star experience
01/12/2024,OpenTable Diner,5.0,Food and service was excellent better than I expected would highly recommend
01/12/2024,JeffH,3.0,"The restaurant was rather loud. I ordered the Wagyu Sirloin which was good but not amazing as I had hoped.  Prices were very high compared to other high end steak houses.  The service was very good.  
Overall I would say the meal was good but didn’t knock my socks off.  One and done for me."
01/07/2024,Shannonc,5.0,"We had an outstanding experience here, atmosphere and staff were so accommodating and right on top of things. FOOD WAS AMAZING"
01/07/2024,OpenTable Diner,5.0,"Our waitress Julie made my son’s 9th birthday beyond special , service , food everything was awesome ! Thank you so much Julie I appreciate it very much !"
01/07/2024,MichaelW,5.0,"Food was amazing! Service was a little meh, from being in the industry ourselves weren’t impressed with service. Very knowledgeable about menu. 

Garlic Bread App - UNREAL. Cheese fondue…woah

Wagyu Strip, Bone In Ribeye, Filet Mignon, and Delmonico steaks were ALL out of this world tasty and cooked to perfection for all! 

Must try Mac and Cheese and Asparagus!! 

Will be back!!"
01/07/2024,Alvin,5.0,"Definately a 5 star experience. Leisurely dining, perfect waitress, superb food and drink
Will dine here again"
01/07/2024,ShaneT,5.0,Outstanding atmosphere made for a perfect evening.
01/07/2024,OpenTable Diner,5.0,Excellent food and great staff! Very enjoyable evening
01/06/2024,ReginaB,5.0,"From our arrival to dessert, every thing was excellent.  Staff were all attentive and constantly checking to see that we were taken care of.  Food-well-off the hook amazing! Our steaks were cooked to perfection. Will definitely be returning"
01/06/2024,JakeS,5.0,"Great food,great service.just a nice environment. I would highly recommend it to anyone."
01/04/2024,KathyC,5.0,Attentive staff! Had reservations and were seated immediately. Manager came around to inquire how everything was.
01/04/2024,EllaP,5.0,"We had a feast and it was all so delicious!!! We always have our favorite new york strip steak. The garlic spreads like butter and adds another level of flavor, YUM! Tried the pork and salmon, both were delicious and perfectly cooked. Added the brussel sprouts and mac and cheese, perfect addition! Took home the broccoli and arugula salad, its amazing. 

Definitely over ate but worth it! Love the rolls as well with the sweet glaze, so nice and airy! 

Martinis and spirit free drinks, taste so fresh and delicious. You can  tell those making them really know!

As usual, service was great! Rolando is also absolutely amazing! He is on top of it all, great personality and so pleasant! 

Looking forward to the next visit, thank you all!"
01/03/2024,NatashaC,5.0,"Service and atmosphere were excellent. The steak ordered was not cooked to my liking, but the flavor was on point. The garlic bread and meatballs off the appetizer were delicious, a must order!"
01/01/2024,SungS,2.0,"I was very disappointed because of the food took a long time to come out, and the dessert was not satisfying despite the low number of customers."
01/01/2024,StephenT,5.0,Great Service and Excellent quality of aged steak.
01/01/2024,JerryR,5.0,"Service is excellent They try to give you exactly what you are looking for. 
Steaks & seafood were cooked to perfection
Definitely recommend this restaurant to anyone who looking for an excellent dining experience"
01/01/2024,MadelineH,5.0,"Excellent food, service, and atmosphere. Would recommend to anyone."
01/01/2024,TressaG,5.0,Food and service were excellent! Sides are definitely shareable.
01/01/2024,OpenTable Diner,5.0,"We were seated after 10 minutes to a table by the window where we people watched as we sipped our cocktails and chatted. Our server Janine was helpful, knowledgeable and attentive to whatever we needed. The porterhouse for 2 was cooked to perfection along with a wedge salad and loaded baked potato. For dessert we split the 23 layer chocolate cake that was to die for with cappuccinos. We had a phenomenal meal to ring in 2024. Would definitely go back again."
01/01/2024,OpenTable Diner,5.0,No complaints always an amazing experience.  Our favorite place to eat
01/01/2024,SheilaR,5.0,No complaints whatsoever on New Year’s Eve. Wonderful meal!!
12/31/2023,OpenTable Diner,4.0,"New year’s eve dinner, crowded, loud atmosphere, very nice hostess. Server was pleasant and bussers were attentive. Food was cooked well and a decent portion. Enjoyable experience."
12/31/2023,Kath,5.0,"From the moment we walked in we were greeted and treated by friendly courteous people. Our server Sara was amazing. She made us feel very much at home and even though it was New Years Eve and she was very buy, we never felt neglected or rushed. Everyone who came to the table was willing to help in any way they could. The food was fabulous. We’re looking forward to returning often. Bravo to Michael Jordan’s!"
12/31/2023,RigerM,4.0,"Fabulous dinner, sat at the bar and Brad was outstanding"
12/31/2023,JasonW,5.0,loved it!  wife's a vegetarian and enjoyed everything she got!  wait staff was top notch!  a bit pricey but who cares when the food and experience was memorable! thanks MJ steakhouse!
12/31/2023,KarenS,4.0,We were seated at a high top table when we had reservations for a table. Very uncomfortable
12/30/2023,OpenTable Diner,5.0,"Delicious food, great service, a tad pricey but was expected"
